ADDRESSLINE1,CITY,CONTACTFIRSTNAME,CONTACTLASTNAME,COUNTRY,CUSTOMERNAME,DEALSIZE,MONTH_ID,MSRP,ORDERDATE,ORDERLINENUMBER,ORDERNUMBER,PHONE,PRICEEACH,PRODUCTCODE,PRODUCTLINE,QTR_ID,QUANTITYORDERED,SALES,STATUS,TERRITORY2,YEAR_ID
4092 Furth Circle,NYC,Jeff,Young,USA,Muscle Machine Inc,Large,6,173,6/3/2003 0:00,1,10127,2125557413,100.0,S12_3891,Classic Cars,2,42,8138.76,Shipped,NORTHAME,2003
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Large,8,173,8/8/2003 0:00,11,10142,4155551450,100.0,S12_3891,Classic Cars,3,46,9470.94,Shipped,NORTHAME,2003
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Large,9,173,9/28/2003 0:00,10,10153,(91) 555 94 44,100.0,S12_3891,Classic Cars,3,49,7036.89,Shipped,EMEA,2003
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.",Medium,10,173,10/22/2003 0:00,2,10165,+65 221 7555,100.0,S12_3891,Classic Cars,4,27,5559.03,Shipped,ASIA,2003
Strada Provinciale 124,Reggio Emilia,Maurizio,Moroni,Italy,L'ordine Souveniers,Large,11,173,11/6/2003 0:00,1,10176,0522-556555,100.0,S12_3891,Classic Cars,4,50,7872.5,Shipped,EMEA,2003
4575 Hillside Dr.,New Bedford,Wing C,Tam,USA,Mini Creations Ltd.,Large,11,173,11/14/2003 0:00,12,10185,5085559555,100.0,S12_3891,Classic Cars,4,43,7886.2,Shipped,NORTHAME,2003
567 North Pendale Street,New Haven,Leslie,Murphy,USA,Super Scale Inc.,Large,11,173,11/26/2003 0:00,4,10196,2035559545,100.0,S12_3891,Classic Cars,4,38,7232.16,Shipped,NORTHAME,2003
"2, rue du Commerce",Lyon,Mary,Saveley,France,"Saveley & Henriot, Co.",Medium,1,173,1/2/2004 0:00,12,10208,78.32.5555,100.0,S12_3891,Classic Cars,1,20,3114.4,Shipped,EMEA,2004
25 Maiden Lane,Dublin,Dean,Cassidy,Ireland,"Clover Collections, Co.",Medium,2,173,2/12/2004 0:00,1,10220,+353 1862 1555,100.0,S12_3891,Classic Cars,1,27,5045.22,Shipped,EMEA,2004
"Merchants House, 27-30 Merchant's Quay",Madrid,Jesus,Fernandez,Spain,CAF Imports,Medium,3,173,3/19/2004 0:00,1,10231,+34 913 728 555,100.0,S12_3891,Classic Cars,1,49,6952.12,Shipped,EMEA,2004
"Software Engineering Center, SEC Oy",Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Medium,5,173,5/5/2004 0:00,1,10247,+358 9 8045 555,100.0,S12_3891,Classic Cars,2,27,4157.73,Shipped,EMEA,2004
7586 Pompton St.,Allentown,Kyung,Yu,USA,Diecast Classics Inc.,Large,7,173,7/20/2004 0:00,1,10272,2155551555,100.0,S12_3891,Classic Cars,3,39,7962.24,Shipped,NORTHAME,2004
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Medium,8,173,8/20/2004 0:00,4,10282,4155551450,100.0,S12_3891,Classic Cars,3,24,3778.8,Shipped,NORTHAME,2004
Via Monte Bianco 34,Torino,Paolo,Accorti,Italy,Amica Models & Co.,Large,9,173,9/9/2004 0:00,7,10293,011-4988555,100.0,S12_3891,Classic Cars,3,45,8253.0,Shipped,EMEA,2004
Fauntleroy Circus,Manchester,Victoria,Ashworth,UK,"AV Stores, Co.",Medium,10,173,10/14/2004 0:00,12,10306,(171) 555-1555,100.0,S12_3891,Classic Cars,4,20,3633.4,Shipped,EMEA,2004
Smagsloget 45,Aaarhus,Palle,Ibsen,Denmark,Heintze Collectables,Medium,10,173,10/22/2004 0:00,4,10314,86 21 3555,100.0,S12_3891,Classic Cars,4,36,6913.8,Shipped,EMEA,2004
Erling Skakkes gate 78,Stavern,Jonas,Bergulfsen,Norway,Baane Mini Imports,Small,11,173,11/5/2004 0:00,1,10325,07-98 9555,100.0,S12_3891,Classic Cars,4,24,2583.6,Shipped,EMEA,2004
"265, boulevard Charonne",Paris,Marie,Bertrand,France,"La Corne D'abondance, Co.",Medium,11,173,11/20/2004 0:00,1,10336,(1) 42.34.2555,63.38,S12_3891,Classic Cars,4,49,3105.62,Shipped,EMEA,2004
4092 Furth Circle,NYC,Jeff,Young,USA,Muscle Machine Inc,Medium,12,173,12/1/2004 0:00,10,10349,2125557413,100.0,S12_3891,Classic Cars,4,26,4408.56,Shipped,NORTHAME,2004
59 rue de l'Abbaye,Reims,Paul,Henriot,France,Reims Collectables,Medium,12,173,12/15/2004 0:00,5,10359,26.47.1555,62.09,S12_3891,Classic Cars,4,49,3042.41,Shipped,EMEA,2004
2-2-8 Roppongi,Minato-ku,Akiko,Shimamura,Japan,"Tokyo Collectables, Ltd",Medium,1,173,1/26/2005 0:00,1,10372,+81 3 3584 0555,100.0,S12_3891,Classic Cars,1,34,5941.5,Shipped,ASIA,2005
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Medium,2,173,2/17/2005 0:00,12,10382,4155551450,95.35,S12_3891,Classic Cars,1,34,3241.9,Shipped,NORTHAME,2005
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Medium,3,173,3/23/2005 0:00,3,10396,4155551450,100.0,S12_3891,Classic Cars,1,33,6109.29,Shipped,NORTHAME,2005
25593 South Bay Ln.,Bridgewater,Julie,King,USA,Gift Depot Inc.,Medium,5,173,5/5/2005 0:00,1,10413,2035552570,100.0,S12_3891,Classic Cars,2,22,3387.78,Shipped,NORTHAME,2005
15 McCallum Street - NatWest Center #13-03,Makati City,Arnold,Cruz,Philippines,Cruz & Sons Co.,Medium,3,79,3/3/2003 0:00,7,10108,+63 2 555 3587,89.38,S12_3990,Classic Cars,1,39,3485.82,Shipped,ASIA,2003
"12, rue des Bouchers",Marseille,Laurence,Lebihan,France,Marseille Mini Autos,Small,5,79,5/8/2003 0:00,11,10122,91.24.4555,63.84,S12_3990,Classic Cars,2,32,2042.88,Shipped,EMEA,2003
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Small,7,79,7/2/2003 0:00,8,10135,4155551450,75.01,S12_3990,Classic Cars,3,24,1800.24,Shipped,NORTHAME,2003
7825 Douglas Av.,Brickhaven,Allen,Nelson,USA,Collectables For Less Inc.,Small,9,79,9/5/2003 0:00,8,10147,6175558555,63.84,S12_3990,Classic Cars,3,21,1340.64,Shipped,NORTHAME,2003
7734 Strong St.,San Francisco,Julie,Brown,USA,Corporate Gift Ideas Co.,Small,10,79,10/10/2003 0:00,3,10159,6505551386,73.42,S12_3990,Classic Cars,4,24,1762.08,Shipped,NORTHAME,2003
201 Miller Street,North Sydney,Anna,O'Hara,Australia,"Anna's Decorations, Ltd",Small,11,79,11/4/2003 0:00,3,10169,02 9936 8555,63.84,S12_3990,Classic Cars,4,36,2298.24,Shipped,AUSTRALIA,2003
"Drammen 121, PR 744 Sentrum",Bergen,Veysel,Oeztan,Norway,Herkku Gifts,Small,11,79,11/12/2003 0:00,15,10181,+47 2267 3215,81.4,S12_3990,Classic Cars,4,20,1628.0,Shipped,EMEA,2003
Mehrheimerstr. 369,Koln,Henriette,Pfalzheim,Germany,"Toms Spezialitten, Ltd",Small,11,79,11/20/2003 0:00,4,10191,0221-5554327,64.64,S12_3990,Classic Cars,4,30,1939.2,Shipped,EMEA,2003
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Medium,12,79,12/2/2003 0:00,9,10203,(91) 555 94 44,82.99,S12_3990,Classic Cars,4,44,3651.56,Shipped,EMEA,2003
"25, rue Lauriston",Paris,Dominique,Perrier,France,Auto Canal Petit,Small,1,79,1/15/2004 0:00,3,10211,(1) 47.55.6555,92.57,S12_3990,Classic Cars,1,28,2591.96,Shipped,EMEA,2004
Grenzacherweg 237,Gensve,Michael,Holz,Switzerland,"Vida Sport, Ltd",Small,2,79,2/22/2004 0:00,10,10225,0897-034555,77.41,S12_3990,Classic Cars,1,37,2864.17,Shipped,EMEA,2004
Vinb'ltet 34,Kobenhavn,Jytte,Petersen,Denmark,Danish Wholesale Imports,Small,4,79,4/9/2004 0:00,4,10238,31 12 3555,74.21,S12_3990,Classic Cars,2,20,1484.2,Shipped,EMEA,2004
Berkeley Gardens 12  Brewery,Liverpool,Elizabeth,Devon,UK,"UK Collectables, Ltd.",Small,6,79,6/1/2004 0:00,14,10253,(171) 555-2282,90.17,S12_3990,Classic Cars,2,25,2254.25,Cancelled,EMEA,2004
Strada Provinciale 124,Reggio Emilia,Maurizio,Moroni,Italy,L'ordine Souveniers,Small,7,79,7/6/2004 0:00,15,10266,0522-556555,76.61,S12_3990,Classic Cars,3,35,2681.35,Shipped,EMEA,2004
7635 Spinnaker Dr.,Brickhaven,Miguel,Barajas,USA,Online Mini Collectables,Medium,8,79,8/2/2004 0:00,4,10276,6175557555,83.79,S12_3990,Classic Cars,3,38,3184.02,Shipped,NORTHAME,2004
Grenzacherweg 237,Gensve,Michael,Holz,Switzerland,"Vida Sport, Ltd",Small,8,79,8/30/2004 0:00,13,10287,0897-034555,69.43,S12_3990,Classic Cars,3,41,2846.63,Shipped,EMEA,2004
Lyonerstr. 34,Frankfurt,Roland,Keitel,Germany,"Blauer See Auto, Co.",Small,10,79,10/4/2003 0:00,6,10300,+49 69 66 90 2555,76.61,S12_3990,Classic Cars,4,22,1685.42,Shipped,EMEA,2003
Mehrheimerstr. 369,Koln,Henriette,Pfalzheim,Germany,"Toms Spezialitten, Ltd",Medium,10,79,10/16/2004 0:00,11,10310,0221-5554327,81.4,S12_3990,Classic Cars,4,49,3988.6,Shipped,EMEA,2004
Berguvsvgen  8,Lule,Christina,Berglund,Sweden,"Volvo Model Replicas, Co",Small,11,79,11/3/2004 0:00,4,10320,0921-12 3555,73.42,S12_3990,Classic Cars,4,38,2789.96,Shipped,EMEA,2004
897 Long Airport Avenue,NYC,Kwai,Yu,USA,Land of Toys Inc.,Medium,11,79,11/15/2004 0:00,14,10329,2125557818,100.0,S12_3990,Classic Cars,4,33,3607.56,Shipped,NORTHAME,2004
Geislweg 14,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Medium,11,79,11/24/2004 0:00,10,10341,6562-9555,93.56,S12_3990,Classic Cars,4,36,3368.16,Shipped,EMEA,2004
"Software Engineering Center, SEC Oy",Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Small,1,79,1/6/2005 0:00,5,10363,+358 9 8045 555,81.62,S12_3990,Classic Cars,1,34,2775.08,Shipped,EMEA,2005
Keskuskatu 45,Helsinki,Matti,Karttunen,Finland,"Toys of Finland, Co.",Small,2,79,2/9/2005 0:00,5,10377,90-224 8555,67.83,S12_3990,Classic Cars,1,24,1627.92,Shipped,EMEA,2005
?kergatan 24,Boras,Maria,Larsson,Sweden,Scandinavian Gift Ideas,Small,3,79,3/3/2005 0:00,7,10389,0695-34 6555,70.26,S12_3990,Classic Cars,1,36,2529.36,Shipped,EMEA,2005
Geislweg 14,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Medium,5,79,5/17/2005 0:00,14,10419,6562-9555,90.17,S12_3990,Classic Cars,2,34,3065.78,Shipped,EMEA,2005
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Medium,1,118,1/31/2003 0:00,9,10104,(91) 555 94 44,100.0,S12_4473,Trucks and Buses,1,41,4615.78,Shipped,EMEA,2003
5905 Pompton St.,NYC,Maria,Hernandez,USA,Classic Legends Inc.,Medium,4,118,4/4/2003 0:00,5,10115,2125558493,100.0,S12_4473,Trucks and Buses,2,46,5723.78,Shipped,NORTHAME,2003
4092 Furth Circle,NYC,Jeff,Young,USA,Muscle Machine Inc,Small,6,118,6/3/2003 0:00,11,10127,2125557413,100.0,S12_4473,Trucks and Buses,2,24,2559.6,Shipped,NORTHAME,2003
"Software Engineering Center, SEC Oy",Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Small,8,118,8/1/2003 0:00,5,10141,+358 9 8045 555,100.0,S12_4473,Trucks and Buses,3,21,2140.11,Shipped,EMEA,2003
Torikatu 38,Oulu,Pirkko,Koskitalo,Finland,"Oulu Toy Supplies, Inc.",Medium,9,118,9/21/2003 0:00,3,10151,981-443655,100.0,S12_4473,Trucks and Buses,3,24,3327.6,Shipped,EMEA,2003
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.",Medium,10,118,10/22/2003 0:00,12,10165,+65 221 7555,100.0,S12_4473,Trucks and Buses,4,48,6825.6,Shipped,ASIA,2003
35 King George,London,Ann,Brown,UK,"Stylish Desk Decors, Co.",Medium,11,118,11/6/2003 0:00,1,10175,(171) 555-0297,100.0,S12_4473,Trucks and Buses,4,26,3543.28,Shipped,EMEA,2003
"C/ Romero, 33",Sevilla,Jose Pedro,Roel,Spain,"Iberia Gift Imports, Corp.",Medium,11,118,11/14/2003 0:00,6,10184,(95) 555 82 82,100.0,S12_4473,Trucks and Buses,4,37,4516.22,Shipped,EMEA,2003
3758 North Pendale Street,White Plains,Steve,Frick,USA,Mini Classics,Medium,11,118,11/25/2003 0:00,6,10195,9145554562,100.0,S12_4473,Trucks and Buses,4,49,6445.46,Shipped,NORTHAME,2003
6251 Ingle Ln.,Boston,Valarie,Franco,USA,Diecast Collectables,Medium,12,118,12/9/2003 0:00,7,10207,6175552555,99.54,S12_4473,Trucks and Buses,4,34,3384.36,Shipped,NORTHAME,2003
2793 Furth Circle,Brisbane,Sue,Taylor,USA,Signal Collectibles Ltd.,Medium,2,118,2/10/2004 0:00,2,10219,4155554312,100.0,S12_4473,Trucks and Buses,1,48,4891.68,Shipped,NORTHAME,2004
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Medium,3,118,3/11/2004 0:00,1,10229,4155551450,100.0,S12_4473,Trucks and Buses,1,36,4521.96,Shipped,NORTHAME,2004
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Medium,5,118,5/5/2004 0:00,5,10246,(91) 555 94 44,100.0,S12_4473,Trucks and Buses,2,46,5069.66,Shipped,EMEA,2004
Village Close - 106 Linden Road Sandown,Singapore,Wendy,Victorino,Singapore,Handji Gifts& Co,Medium,6,118,6/15/2004 0:00,4,10259,+65 224 1555,100.0,S12_4473,Trucks and Buses,2,46,6541.2,Shipped,ASIA,2004
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Medium,7,118,7/20/2004 0:00,5,10271,4155551450,97.17,S12_4473,Trucks and Buses,3,31,3012.27,Shipped,NORTHAME,2004
7586 Pompton St.,Allentown,Kyung,Yu,USA,Diecast Classics Inc.,Medium,8,118,8/19/2004 0:00,1,10281,2155551555,100.0,S12_4473,Trucks and Buses,3,41,5247.18,Shipped,NORTHAME,2004
897 Long Airport Avenue,NYC,Kwai,Yu,USA,Land of Toys Inc.,Small,9,118,9/8/2004 0:00,8,10292,2125557818,100.0,S12_4473,Trucks and Buses,3,21,2214.87,Shipped,NORTHAME,2004
39323 Spinnaker Dr.,Cambridge,Marta,Hernandez,USA,Marta's Replicas Co.,Medium,10,118,10/13/2004 0:00,5,10305,6175558555,100.0,S12_4473,Trucks and Buses,4,38,4773.18,Shipped,NORTHAME,2004
Smagsloget 45,Aaarhus,Palle,Ibsen,Denmark,Heintze Collectables,Medium,10,118,10/22/2004 0:00,14,10314,86 21 3555,100.0,S12_4473,Trucks and Buses,4,45,6185.7,Shipped,EMEA,2004
2678 Kingston Rd.,NYC,Michael,Frick,USA,Vitachrome Inc.,Small,11,118,11/5/2004 0:00,7,10324,2125551500,58.38,S12_4473,Trucks and Buses,4,26,1517.88,Shipped,NORTHAME,2004
"265, boulevard Charonne",Paris,Marie,Bertrand,France,"La Corne D'abondance, Co.",Medium,11,118,11/20/2004 0:00,3,10336,(1) 42.34.2555,100.0,S12_4473,Trucks and Buses,4,38,6372.6,Shipped,EMEA,2004
4092 Furth Circle,NYC,Jeff,Young,USA,Muscle Machine Inc,Medium,12,118,12/1/2004 0:00,9,10349,2125557413,100.0,S12_4473,Trucks and Buses,4,48,5232.96,Shipped,NORTHAME,2004
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Small,12,118,12/10/2004 0:00,9,10358,(91) 555 94 44,64.16,S12_4473,Trucks and Buses,4,42,2694.72,Shipped,EMEA,2004
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Small,1,118,1/23/2005 0:00,4,10371,4155551450,35.71,S12_4473,Trucks and Buses,1,49,1749.79,Shipped,NORTHAME,2005
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Small,2,118,2/17/2005 0:00,13,10382,4155551450,66.58,S12_4473,Trucks and Buses,1,32,2130.56,Shipped,NORTHAME,2005
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Medium,5,118,5/3/2005 0:00,5,10412,(91) 555 94 44,100.0,S12_4473,Trucks and Buses,2,54,5951.34,Shipped,EMEA,2005
"67, rue des Cinquante Otages",Nantes,Janine,Labrune,France,La Rochelle Gifts,Medium,5,118,5/31/2005 0:00,4,10425,40.67.8555,100.0,S12_4473,Trucks and Buses,2,33,4692.6,In Process,EMEA,2005
15 McCallum Street - NatWest Center #13-03,Makati City,Arnold,Cruz,Philippines,Cruz & Sons Co.,Medium,3,115,3/3/2003 0:00,3,10108,+63 2 555 3587,100.0,S12_4675,Classic Cars,1,36,3731.04,Shipped,ASIA,2003
"12, rue des Bouchers",Marseille,Laurence,Lebihan,France,Marseille Mini Autos,Small,5,115,5/8/2003 0:00,7,10122,91.24.4555,100.0,S12_4675,Classic Cars,2,20,2142.0,Shipped,EMEA,2003
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Small,7,115,7/2/2003 0:00,4,10135,4155551450,97.89,S12_4675,Classic Cars,3,29,2838.81,Shipped,NORTHAME,2003
7825 Douglas Av.,Brickhaven,Allen,Nelson,USA,Collectables For Less Inc.,Medium,9,115,9/5/2003 0:00,4,10147,6175558555,97.89,S12_4675,Classic Cars,3,33,3230.37,Shipped,NORTHAME,2003
6047 Douglas Av.,Los Angeles,Michael,Chandler,USA,"Men 'R' US Retailers, Ltd.",Medium,10,115,10/11/2003 0:00,5,10160,2155554369,100.0,S12_4675,Classic Cars,4,50,5182.0,Shipped,NORTHAME,2003
Kirchgasse 6,Graz,Roland,Mendel,Austria,Mini Auto Werke,Medium,11,115,11/4/2003 0:00,3,10170,7675-3555,100.0,S12_4675,Classic Cars,4,41,4391.1,Shipped,EMEA,2003
"Drammen 121, PR 744 Sentrum",Bergen,Veysel,Oeztan,Norway,Herkku Gifts,Medium,11,115,11/12/2003 0:00,11,10181,+47 2267 3215,100.0,S12_4675,Classic Cars,4,36,4477.32,Shipped,EMEA,2003
2304 Long Airport Avenue,Nashua,Valarie,Young,USA,Online Diecast Creations Co.,Medium,11,115,11/20/2003 0:00,16,10192,6035558647,100.0,S12_4675,Classic Cars,4,27,3544.56,Shipped,NORTHAME,2003
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Medium,12,115,12/2/2003 0:00,5,10203,(91) 555 94 44,100.0,S12_4675,Classic Cars,4,47,5195.85,Shipped,EMEA,2003
"C/ Moralzarzal, 86",Madrid,Diego,Freyre,Spain,Euro Shopping Channel,Medium,1,115,1/16/2004 0:00,15,10212,(91) 555 94 44,100.0,S12_4675,Classic Cars,1,33,4180.44,Shipped,EMEA,2004
Grenzacherweg 237,Gensve,Michael,Holz,Switzerland,"Vida Sport, Ltd",Small,2,115,2/22/2004 0:00,6,10225,0897-034555,100.0,S12_4675,Classic Cars,1,21,2684.43,Shipped,EMEA,2004
Torikatu 38,Oulu,Pirkko,Koskitalo,Finland,"Oulu Toy Supplies, Inc.",Small,4,115,4/12/2004 0:00,5,10239,981-443655,93.28,S12_4675,Classic Cars,2,21,1958.88,Shipped,EMEA,2004
Berkeley Gardens 12  Brewery,Liverpool,Elizabeth,Devon,UK,"UK Collectables, Ltd.",Medium,6,115,6/1/2004 0:00,10,10253,(171) 555-2282,100.0,S12_4675,Classic Cars,2,41,4910.57,Cancelled,EMEA,2004
Strada Provinciale 124,Reggio Emilia,Maurizio,Moroni,Italy,L'ordine Souveniers,Medium,7,115,7/6/2004 0:00,11,10266,0522-556555,100.0,S12_4675,Classic Cars,3,40,4468.4,Shipped,EMEA,2004
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.",Medium,8,115,8/4/2004 0:00,1,10277,+65 221 7555,100.0,S12_4675,Classic Cars,3,28,3127.88,Shipped,ASIA,2004
Grenzacherweg 237,Gensve,Michael,Holz,Switzerland,"Vida Sport, Ltd",Small,8,115,8/30/2004 0:00,9,10287,0897-034555,100.0,S12_4675,Classic Cars,3,23,2675.13,Shipped,EMEA,2004
Lyonerstr. 34,Frankfurt,Roland,Keitel,Germany,"Blauer See Auto, Co.",Small,10,115,10/4/2003 0:00,2,10300,+49 69 66 90 2555,100.0,S12_4675,Classic Cars,4,23,2807.61,Shipped,EMEA,2003
Mehrheimerstr. 369,Koln,Henriette,Pfalzheim,Germany,"Toms Spezialitten, Ltd",Small,10,115,10/16/2004 0:00,7,10310,0221-5554327,100.0,S12_4675,Classic Cars,4,25,2504.75,Shipped,EMEA,2004
1785 First Street,New Bedford,Violeta,Benitez,USA,FunGiftIdeas.com,Small,11,115,11/4/2004 0:00,15,10321,5085552555,100.0,S12_4675,Classic Cars,4,24,2984.88,Shipped,NORTHAME,2004
897 Long Airport Avenue,NYC,Kwai,Yu,USA,Land of Toys Inc.,Small,11,115,11/15/2004 0:00,15,10329,2125557818,64.74,S12_4675,Classic Cars,4,39,2524.86,Shipped,NORTHAME,2004
Geislweg 14,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Medium,11,115,11/24/2004 0:00,7,10341,6562-9555,75.2,S12_4675,Classic Cars,4,55,4136.0,Shipped,EMEA,2004
"Software Engineering Center, SEC Oy",Espoo,Kalle,Suominen,Finland,Suominen Souveniers,Medium,1,115,1/6/2005 0:00,6,10363,+358 9 8045 555,88.45,S12_4675,Classic Cars,1,46,4068.7,Shipped,EMEA,2005
Keskuskatu 45,Helsinki,Matti,Karttunen,Finland,"Toys of Finland, Co.",Medium,2,115,2/9/2005 0:00,1,10377,90-224 8555,100.0,S12_4675,Classic Cars,1,50,5182.0,Shipped,EMEA,2005
?kergatan 24,Boras,Maria,Larsson,Sweden,Scandinavian Gift Ideas,Medium,3,115,3/3/2005 0:00,8,10389,0695-34 6555,100.0,S12_4675,Classic Cars,1,47,5243.79,Shipped,EMEA,2005
"24, place Kluber",Strasbourg,Frederique,Citeaux,France,Mini Caravy,Large,4,115,4/14/2005 0:00,5,10405,88.60.1555,93.28,S12_4675,Classic Cars,2,97,9048.16,Shipped,EMEA,2005
Geislweg 14,Salzburg,Georg,Pipps,Austria,Salzburg Collectables,Medium,5,115,5/17/2005 0:00,10,10419,6562-9555,100.0,S12_4675,Classic Cars,2,32,3832.64,Shipped,EMEA,2005
Erling Skakkes gate 78,Stavern,Jonas,Bergulfsen,Norway,Baane Mini Imports,Medium,1,116,1/29/2003 0:00,10,10103,07-98 9555,100.0,S18_1097,Trucks and Buses,1,35,3920.0,Shipped,EMEA,2003
5677 Strong St.,San Rafael,Valarie,Nelson,USA,Mini Gifts Distributors Ltd.,Medium,3,116,3/26/2003 0:00,4,10113,4155551450,100.0,S18_1097,Trucks and Buses,1,49,4916.66,Shipped,NORTHAME,2003
"C/ Araquil, 67",Madrid,Mart¡n,Sommer,Spain,"Corrida Auto Replicas, Ltd",Medium,5,116,5/28/2003 0:00,10,10126,(91) 555 22 82,100.0,S18_1097,Trucks and Buses,2,38,3857.0,Shipped,EMEA,2003
9408 Furth Circle,Burlingame,Juri,Hirano,USA,Technics Stores Inc.,Medium,7,116,7/24/2003 0:00,10,10140,6505556809,100.0,S18_1097,Trucks and Buses,3,32,4181.44,Shipped,NORTHAME,2003
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Eric,Natividad,Singapore,"Dragon Souveniers, Ltd.",Medium,9,116,9/19/2003 0:00,7,10150,+65 221 7555,100.0,S18_1097,Trucks and Buses,3,34,4641.0,Shipped,ASIA,2003
Kirchgasse 6,Graz,Roland,Mendel,Austria,Mini Auto Werke,Medium,10,116,10/21/2003 0:00,8,10164,7675-3555,99.17,S18_1097,Trucks and Buses,4,36,3570.12,Resolved,EMEA,2003
31 Duncan St. West End,South Brisbane,Tony,Calaghan,Australia,"Australian Gift Network, Co",Medium,11,116,11/6/2003 0:00,3,10174,61-7-3844-6555,93.34,S18_1097,Trucks and Buses,4,48,4480.32,Shipped,AUSTRALIA,2003
782 First Street,Philadelphia,Francisca,Cervantes,USA,"Classic Gift Ideas, Inc",Small,11,116,11/13/2003 0:00,7,10183,2155554695,96.84,S18_1097,Trucks and Buses,4,21,2033.64,Shipped,NORTHAME,2003
"2, rue du Commerce",Lyon,Mary,Saveley,France,"Saveley & Henriot, Co.",Small,11,116,11/25/2003 0:00,10,10194,78.32.5555,93.34,S18_1097,Trucks and Buses,4,21,1960.14,Shipped,EMEA,2003
1900 Oak St.,Vancouver,Yoshi,Tannamuri,Canada,Canadian Gift Exchange Network,Medium,12,116,12/5/2003 0:00,5,10206,(604) 555-3392,100.0,S18_1097,Trucks and Buses,4,34,3966.78,Shipped,NORTHAME,2003
3675 Furth Circle,Burbank,Steve,Thompson,USA,West Coast Collectables Co.,Medium,1,116,1/29/2004 0:00,2,10215,3105553722,100.0,S18_1097,Trucks and Buses,1,46,5152.0,Shipped,NORTHAME,2004
4658 Baden Av.,Cambridge,Kyung,Tseng,USA,Cambridge Collectables Co.,Medium,3,116,3/10/2004 0:00,1,10228,6175555555,100.0,S18_1097,Trucks and Buses,1,32,3360.0,Shipped,NORTHAME,2004
567 North Pendale Street,New Haven,Leslie,Murphy,USA,Super Scale Inc.,Medium,5,116,5/4/2004 0:00,8,10245,2035559545,100.0,S18_1097,Trucks and Buses,2,29,3451.0,Shipped,NORTHAME,2004
2-2-8 Roppongi,Minato-ku,Akiko,Shimamura,Japan,"Tokyo Collectables, Ltd",Medium,6,116,6/15/2004 0:00,5,10258,+81 3 3584 0555,100.0,S18_1097,Trucks and Buses,2,41,5453.0,Shipped,ASIA,2004
"Monitor Money Building, 815 Pacific Hwy",Chatswood,Adrian,Huxley,Australia,Souveniers And Things Co.,Medium,7,116,7/19/2004 0:00,8,10270,+61 2 9495 8555,96.84,S18_1097,Trucks and Buses,3,43,4164.12,Shipped,AUSTRALIA,2004
Via Monte Bianco 34,Torino,Paolo,Accorti,Italy,Amica Models & Co.,Small,8,116,8/17/2004 0:00,1,10280,011-4988555,100.0,S18_1097,Trucks and Buses,3,24,2800.08,Shipped,EMEA,2004
?kergatan 24,Boras,Maria,Larsson,Sweden,Scandinavian Gift Ideas,Medium,9,116,9/8/2004 0:00,10,10291,0695-34 6555,100.0,S18_1097,Trucks and Buses,3,41,4687.94,Shipped,EMEA,2004
"67, avenue de l'Europe",Versailles,Daniel,Tonini,France,Auto Assoc. & Cie.,Medium,10,116,10/11/2004 0:00,5,10304,30.59.8555,98.0,S18_1097,Trucks and Buses,4,46,4508.0,Shipped,EMEA,2004
